Time,Mass1_x,Mass1_y,Mass2_x,Mass2_y,Mass1,Mass2
0.035,-32061.013761407612,44128.199693178954,26717.51146783968,-36773.4997443158,10,12
0.036000000000000004,-34768.58125901943,42027.995060497604,28973.81771584953,-35023.32921708134,10,12
0.037,-37338.93305065573,39761.92513207701,31115.77754221311,-33134.937610064175,10,12
0.038,-39761.925132077,37338.933050655745,33134.93761006417,-31115.77754221312,10,12
0.039,-42027.9950604976,34768.58125901944,35023.32921708133,-28973.817715849535,10,12
0.04,-44128.19969317895,32061.013761407627,36773.49974431579,-26717.51146783969,10,12
0.041,-46054.250481928095,29226.916089763447,38378.54206827341,-24355.76340813621,10,12
0.042,-47798.54618421074,26277.473132820825,39832.12182017562,-21897.89427735069,10,12
0.043000000000000003,-49354.20286178287,23224.32499445852,41128.50238481906,-19353.604162048767,10,12
0.044,-50715.081048450076,20079.521055527875,42262.567540375065,-16732.934212939897,10,12
0.045,-51875.809979735655,16855.472420451686,43229.841649779715,-14046.227017043071,10,12
0.046,-52831.80878883443,13564.902936264809,44026.507324028695,-11304.085780220676,10,12
0.047,-53579.30458520119,10220.798977403158,44649.42048766767,-8517.332481169298,10,12
0.048,-54115.34734442605,6836.358194416611,45096.12278702171,-5696.965162013843,10,12
0.049,-54437.821550632994,3424.93742887165,45364.851292194166,-2854.1145240597084,10,12
0.05,-54545.454545454544,6.679891631712836e-12,45454.545454545456,-5.566576359760697e-12,10,12
0.051000000000000004,-54437.821550633,-3424.9374288716363,45364.851292194166,2854.114524059697,10,12
0.052000000000000005,-54115.34734442605,-6836.358194416574,45096.12278702171,5696.965162013812,10,12
0.053,-53579.30458520119,-10220.79897740317,44649.42048766767,8517.33248116931,10,12
0.054,-52831.80878883443,-13564.902936264798,44026.507324028695,11304.085780220665,10,12
0.055,-51875.809979735655,-16855.47242045167,43229.841649779715,14046.227017043062,10,12
0.056,-50715.08104845007,-20079.52105552789,42262.567540375065,16732.93421293991,10,12
0.057,-49354.20286178287,-23224.32499445851,41128.50238481906,19353.60416204876,10,12
0.058,-47798.54618421075,-26277.473132820818,39832.12182017562,21897.894277350682,10,12
0.059000000000000004,-46054.25048192809,-29226.91608976346,38378.54206827341,24355.763408136216,10,12
0.06,-44128.19969317896,-32061.013761407612,36773.499744315806,26717.51146783968,10,12
0.061,-42027.995060497604,-34768.58125901943,35023.32921708134,28973.81771584953,10,12
0.062,-39761.925132077,-37338.933050655745,33134.93761006417,31115.777542213124,10,12
0.063,-37338.933050655745,-39761.925132077,31115.77754221312,33134.93761006417,10,12
0.064,-34768.581259019425,-42027.995060497604,28973.817715849524,35023.329217081344,10,12
0.065,-32061.01376140763,-44128.19969317895,26717.511467839693,36773.49974431579,10,12
0.066,-29226.916089763472,-46054.25048192807,24355.763408136227,38378.5420682734,10,12
0.067,-26277.473132820833,-47798.54618421073,21897.894277350693,39832.12182017561,10,12
0.068,-23224.324994458522,-49354.20286178287,19353.60416204877,41128.50238481906,10,12
0.069,-20079.52105552788,-50715.081048450076,16732.9342129399,42262.567540375065,10,12
0.07,-16855.472420451686,-51875.80997973565,14046.227017043075,43229.84164977971,10,12
0.07100000000000001,-13564.902936264836,-52831.80878883442,11304.085780220697,44026.507324028695,10,12
0.07200000000000001,-10220.798977403163,-53579.3045852012,8517.332481169304,44649.420487667674,10,12
0.073,-6836.358194416567,-54115.34734442606,5696.965162013807,45096.12278702172,10,12
0.074,-3424.937428871677,-54437.821550633,2854.114524059731,45364.851292194166,10,12
0.075,-1.0019837447569252e-11,-54545.454545454544,8.349864539641044e-12,45454.545454545456,10,12
0.076,3424.9374288716576,-54437.821550633,-2854.1145240597148,45364.851292194166,10,12
0.077,6836.358194416594,-54115.34734442605,-5696.965162013828,45096.12278702171,10,12
0.078,10220.798977403141,-53579.30458520121,-8517.332481169286,44649.420487667674,10,12
0.079,13564.902936264818,-52831.80878883442,-11304.085780220681,44026.507324028695,10,12
0.08,16855.472420451668,-51875.809979735655,-14046.227017043058,43229.841649779715,10,12
0.081,20079.52105552786,-50715.08104845008,-16732.934212939886,42262.56754037507,10,12
0.082,23224.324994458508,-49354.20286178288,-19353.60416204876,41128.50238481907,10,12
0.083,26277.47313282081,-47798.54618421075,-21897.89427735068,39832.12182017562,10,12
0.084,29226.916089763454,-46054.25048192809,-24355.763408136212,38378.54206827341,10,12
0.085,32061.01376140761,-44128.19969317896,-26717.511467839675,36773.499744315806,10,12
0.08600000000000001,34768.58125901941,-42027.99506049762,-28973.81771584951,35023.32921708135,10,12
0.08700000000000001,37338.933050655745,-39761.925132077,-31115.77754221312,33134.93761006417,10,12
0.088,39761.92513207701,-37338.93305065572,-33134.937610064175,31115.777542213105,10,12
0.089,42027.99506049757,-34768.58125901946,-35023.32921708131,28973.817715849556,10,12
0.09,44128.19969317895,-32061.01376140763,-36773.49974431579,26717.511467839693,10,12
0.091,46054.25048192811,-29226.91608976343,-38378.542068273426,24355.763408136194,10,12
0.092,47798.54618421073,-26277.473132820833,-39832.12182017561,21897.894277350693,10,12
0.093,49354.20286178287,-23224.324994458526,-41128.50238481906,19353.604162048774,10,12
0.094,50715.08104845007,-20079.521055527883,-42262.567540375065,16732.934212939905,10,12
0.095,51875.80997973565,-16855.47242045169,-43229.84164977971,14046.227017043077,10,12
0.096,52831.80878883442,-13564.902936264838,-44026.50732402869,11304.0857802207,10,12
0.097,53579.30458520119,-10220.798977403167,-44649.42048766767,8517.332481169306,10,12
0.098,54115.347344426045,-6836.358194416618,-45096.122787021704,5696.965162013849,10,12
0.099,54437.821550633,-3424.9374288716326,-45364.851292194166,2854.114524059694,10,12
